nb_downl,Surname,First,nb_pages,Author_clean,Students,nb_works,h_index,Author,nb_cit,vn_award,clark,nobel,Country,top10_shangai_yn
7515,F,Christopher,1099,Christopher F,10.0,415,21,"Christopher F Baum Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",3062,0,0,0,(USA),0
7462,Marc,Jeffrey,1079,Jeffrey Marc,4.0,214,31,"Jeffrey Marc Wooldridge Economics Department, Michigan State University, East Lansing, Michigan (USA)",10615,0,0,0,(USA),0
6537,Acemoglu,Daron,5349,Daron Acemoglu,23.0,645,72,"Daron Acemoglu Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",24703,1,1,0,(USA),1
6290,Stiglitz,Joseph,5753,Joseph E. Stiglitz,6.0,643,72,"Joseph E. Stiglitz Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",25947,0,1,1,(USA),1
5632,List,John,3642,John List,5.0,681,56,"John List Department of Economics, University of Chicago, Chicago, Illinois (USA)",11165,0,0,0,(USA),1
5426,Barro,Robert,2705,Robert J. Barro,7.0,329,65,"Robert J. Barro Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",31421,0,0,0,(USA),1
5097,Heckman,James,5018,James J. Heckman,26.0,645,86,"James J. Heckman Department of Economics, University of Chicago, Chicago, Illinois (USA)",34146,0,1,1,(USA),1
4891,Nordhaus,William,1793,William D. Nordhaus,0.5,208,34,"William D. Nordhaus Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)Economics Department, Yale University, New Haven, Connecticut (USA)",5083,0,0,1,(USA),1
4525,Hashem,M,3607,M Hashem,4.0,649,57,"M Hashem Pesaran Department of Economics, University of Southern California, Los Angeles, California (USA)",23850,0,0,0,(USA),0
3968,Sargent,Thomas,3439,Thomas J. Sargent,19.0,365,50,"Thomas J. Sargent Department of Economics, New York University (NYU), New York City, New York (USA)",9609,0,0,1,(USA),1
3956,Krugman,Paul,1636,Paul R. Krugman,8.5,199,49,"Paul R. Krugman Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",16124,0,1,1,(USA),1
3870,Levine,Ross,2304,Ross Levine,1.0,293,62,"Ross Levine National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",23956,0,0,0,(USA),0
3842,Becker,Gary,1323,Gary S. Becker,10.5,172,49,Gary S. Becker †,20728,1,1,1,(USA),1
3760,Michael,John,2485,John Michael,6.0,556,48,"John Michael van Reenen Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",9385,0,0,0, United Kingdom,1
3718,Bernanke,Ben,1389,Ben S. Bernanke,4.5,379,43,"Ben S. Bernanke Economic Studies, Brookings Institution, Washington, District of Columbia (USA)",16982,0,0,0,(USA),0
3687,Julian,Barry,4603,Barry Julian,8.5,836,51,"Barry Julian Eichengreen Department of Economics, University of California-Berkeley, Berkeley, California (USA)",9482,0,0,0,(USA),1
3686,Galor,Oded,1044,Oded Galor,31.5,294,39,"Oded Galor Economics Department, Brown University, Providence, Rhode Island (USA)",8930,0,0,0,(USA),0
3622,Weron,Rafal,815,Rafal Weron,6.5,253,22,"Rafal Weron Katedra Badań Operacyjnych i Inteligencji Biznesowej, Politechnika Wrocławska, Wrocław, Poland",1714,0,0,0, Poland,0
3475,Rodrik,Dani,1706,Dani Rodrik,1.5,331,48,"Dani Rodrik Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",13763,1,0,0,(USA),1
3381,Shleifer,Andrei,4312,Andrei Shleifer,37.5,560,90,"Andrei Shleifer Department of Economics, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",48826,0,1,0,(USA),1
3363,Jenkins,Stephen,1575,Stephen P. Jenkins,1.0,370,28,"Stephen P. Jenkins Department of Social Policy, London School of Economics (LSE), London, United Kingdom",3111,0,0,0, United Kingdom,1
3356,Lucas,Robert,1391,Robert E. Lucas,31.5,127,42,"Robert E. Lucas Jr.Department of Economics, University of Chicago, Chicago, Illinois (USA)",18980,0,0,1,(USA),1
3347,Vinayak,Abhijit,1868,Abhijit Vinayak,7.5,278,44,"Abhijit Vinayak Banerjee Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",8966,0,0,0,(USA),1
3291,Gertler,Mark,1493,Mark L. Gertler,4.5,232,48,"Mark L. Gertler Department of Economics, New York University (NYU), New York City, New York (USA)",22722,0,0,0,(USA),1
3258,Krueger,Alan,2423,Alan B. Krueger,11.0,355,52,Alan B. Krueger †,14406,0,0,0,None,0
3142,Dosi,Giovanni,2411,Giovanni Dosi,3.0,369,31,"Giovanni Dosi Laboratory of Economics and Management (LEM), Scuola Superiore Sant'Anna, Pisa, Italy",5361,0,0,0, Italy,0
3099,Blanchard,Olivier,2718,Olivier J Blanchard,35.0,372,60,"Olivier J Blanchard Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",20168,1,0,0,(USA),0
3097,Gupta,Rangan,6337,Rangan Gupta,2.0,1270,18,"Rangan Gupta Department of Economics, Faculty of Economic and Management Sciences, University of Pretoria, Pretoria, South Africa",2169,0,0,0, South Africa,0
3016,Francesco,Alberto,2973,Alberto Francesco,7.5,496,73,Alberto Francesco Alesina †,20651,0,0,0,None,0
2953,Bloom,Nicholas,1251,Nicholas Bloom,3.5,323,32,"Nicholas Bloom Department of Economics, Stanford University, Stanford, California (USA)",8203,0,0,0,(USA),1
2952,Reinhart,Carmen,2177,Carmen M. Reinhart,8.0,450,67,"Carmen M. Reinhart Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",23472,0,0,0,(USA),1
2924,Tirole,Jean,4439,Jean Tirole,5.0,478,74,"Jean Tirole Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",24483,1,0,1, France,0
2785,Aghion,Philippe,2943,Philippe Aghion,2.5,519,59,"Philippe Aghion Centre for Economic Performance (CEP), London School of Economics (LSE), London, United KingdomParis School of Economics, Paris, France",17168,1,0,0, France,1
2730,Summers,Lawrence,2867,Lawrence H. Summers,4.5,320,56,"Lawrence H. Summers Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",14296,0,1,0,(USA),1
2568,Tol,Richard,2897,Richard S.J. Tol,14.5,592,32,"Richard S.J. Tol Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",4006,0,0,0, United Kingdom,0
2567,Engle,Robert,2116,Robert F. Engle,12.5,230,58,"Robert F. Engle IIIFinance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)Volatility Institute, Stern School of Business, New York University (NYU), New York City, New York (USA)",28370,0,0,1,(USA),1
2562,Card,David,2606,David E. Card,16.0,394,57,"David E. Card Department of Economics, University of California-Berkeley, Berkeley, California (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",13884,0,1,0,(USA),1
2561,Restuccia,Diego,768,Diego Restuccia,4.0,163,17,"Diego Restuccia Department of Economics, University of Toronto, Toronto, Canada",1752,0,0,0, Canada,0
2531,Santos,Joao,943,Joao Santos,2.5,113,18,"Joao M.C. Santos Silva School of Economics, University of Surrey, Guildford, United Kingdom",2148,0,0,0, United Kingdom,0
2517,Song,Hyun,2268,Hyun Song,5.5,343,45,"Hyun Song Shin Bank for International Settlements (BIS), Basel, Switzerland",7412,0,0,0, Switzerland,0
2444,Tobin,James,1114,James Tobin,6.0,194,22,James Tobin †,3983,0,1,1,(USA),1
2418,Baldwin,Richard,1393,Richard Baldwin,8.0,266,43,"Richard Baldwin International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",6034,0,0,0, Switzerland,0
2413,Reis,Ricardo,918,Ricardo Reis,8.5,199,24,"Ricardo Reis Economics Department, London School of Economics (LSE), London, United Kingdom",3304,0,0,0, United Kingdom,1
2407,Department,David,1152,David Bloom Department,4.0,277,26,"David Bloom Department of Global Health and Population, Harvard T. H. Chan School of Public Health, Harvard University, Cambridge, Massachusetts (USA)",3680,0,0,0,(USA),1
2388,Boschma,Ron,1440,Ron Boschma,0.5,207,31,"Ron Boschma Disciplinegroep Economische Geografie, Faculteit Ruimtelijke Wetenschappen, Universiteit Utrecht, Utrecht, Netherlands",4224,0,0,0, Netherlands,0
2372,Rodriguez-Pose,Andres,2812,Andres Rodriguez-Pose,8.5,433,27,"Andres Rodriguez-Pose Department of Geography and Environment, London School of Economics (LSE), London, United Kingdom",2291,0,0,0, United Kingdom,1
2371,Shiller,Robert,1941,Robert J. Shiller,3.5,312,45,"Robert J. Shiller Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)",10032,0,0,1,(USA),1
2349,Blundell,Richard,3183,Richard Blundell,25.0,416,55,"Richard Blundell Department of Economics, University College London (UCL), London, United Kingdom",19722,0,0,0, United Kingdom,0
2339,J,Gabriel,1839,Gabriel J,2.0,334,26,"Gabriel J Felbermayr Institut für Weltwirtschaft (IfW), Kiel, Germany",2128,0,0,0, Germany,0
2328,Taylor,Alan,1598,Alan M. Taylor,2.5,337,35,"Alan M. Taylor Economics Department, University of California-Davis, Davis, California (USA)",5608,0,0,0,(USA),0
2301,Duflo,Esther,969,Esther Duflo,8.5,223,42,"Esther Duflo Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",10006,1,1,1,(USA),1
2291,Peri,Giovanni,1734,Giovanni Peri,6.0,322,32,"Giovanni Peri Economics Department, University of California-Davis, Davis, California (USA)",3828,0,0,0,(USA),0
2238,Arrow,Kenneth,1127,Kenneth J. Arrow,18.5,145,28,Kenneth J. Arrow †,6198,1,1,1,(USA),1
2223,Gibson,John,2268,John Gibson,5.5,344,25,"John Gibson Department of Economics, Waikato Management School, University of Waikato, Hamilton, New Zealand",1997,0,0,0, New Zealand,0
2215,Frey,Bruno,4285,Bruno S. Frey,8.0,667,46,"Bruno S. Frey Center for Research in Economics, Management and the Arts (CREMA), Basel/Zürich, Switzerland",9107,0,0,0, Switzerland,0
2201,Dustmann,Christian,2157,Christian Dustmann,13.0,299,41,"Christian Dustmann Department of Economics, University College London (UCL), London, United KingdomCentre for Research and Analysis of Migration (CReAM), University College London (UCL), London, United Kingdom",5176,0,0,0, United Kingdom,0
2172,Venables,Anthony,1795,Anthony J. Venables,2.5,320,41,"Anthony J. Venables Oxford Centre for the Analysis of Resource-Rich Economies (OxCarre), Department of Economics, Oxford University, Oxford, United Kingdom",8593,0,0,0, United Kingdom,0
2156,Besley,Timothy,2786,Timothy J. Besley,2.0,349,53,"Timothy J. Besley Economics Department, London School of Economics (LSE), London, United Kingdom",10319,0,0,0, United Kingdom,1
2140,B.,Peter,6617,Peter C. B.,32.5,681,49,"Peter C. B. Phillips Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)School of Economics, Singapore Management University, Singapore, Singapore",15820,0,0,0, Singapore,1
2129,S,Kenneth,2121,Kenneth S,5.0,392,63,"Kenneth S Rogoff Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",27020,0,0,0,(USA),1
2107,Sims,Christopher,1131,Christopher Sims,28.0,145,35,"Christopher Sims Department of Economics, Princeton University, Princeton, New Jersey (USA)",11682,0,0,1,(USA),1
2102,Rajan,Raghuram,2094,Raghuram G. Rajan,1.0,246,48,"Raghuram G. Rajan George J. Stigler Center for the Study of the Economy and the State, Booth School of Business, University of Chicago, Chicago, Illinois (USA)Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",15959,0,0,0,(USA),1
2090,D,Joshua,1723,Joshua D,4.5,236,46,"Joshua D Angrist Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",11863,0,0,0,(USA),1
2077,Fehr,Ernst,1954,Ernst Fehr,2.0,374,47,"Ernst Fehr Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",12213,0,0,0, Switzerland,0
2067,Samuelson,Paul,2204,Paul A. Samuelson,2.0,237,25,Paul A. Samuelson †,4692,0,1,1,(USA),1
2059,Claessens,Stijn,2155,Stijn Claessens,1.0,313,42,"Stijn Claessens Bank for International Settlements (BIS), Basel, Switzerland",8391,0,0,0, Switzerland,0
2048,Clark,Andrew,1311,Andrew Clark,6.5,535,34,"Andrew Clark Paris School of Economics, Paris, France",6659,0,0,0, France,0
2046,Reichlin,Lucrezia,967,Lucrezia Reichlin,3.0,251,38,"Lucrezia Reichlin Department of Economics, London Business School (LBS), London, United KingdomCentre for Economic Policy Research (CEPR), London, United Kingdom",6086,0,0,0, United Kingdom,0
2030,Eichenbaum,Martin,1651,Martin Eichenbaum,7.0,276,50,"Martin Eichenbaum Department of Economics, Northwestern University, Evanston, Illinois (USA)",12357,0,0,0,(USA),0
2028,McAleer,Michael,5562,Michael McAleer,8.0,1383,28,"Michael McAleer Department of Finance, College of Management, Asia University, Wufeng, Taiwan",3760,0,0,0, Taiwan,0
2013,Egger,Peter,3985,Peter H. Egger,3.5,413,35,"Peter H. Egger Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, SwitzerlandKOF Swiss Economic Institute, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland",4374,0,0,0, Switzerland,0
2004,Haltiwanger,John,2179,John Haltiwanger,21.5,354,50,"John Haltiwanger Department of Economics, University of Maryland, College Park, Maryland (USA)",10391,0,0,0,(USA),0
