Rank,Author,Score
1,"Andrei  Shleifer Department of Economics, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",90
2,"James J. Heckman Department of Economics, University of Chicago, Chicago, Illinois (USA)",86
3,"Jean  Tirole Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",74
4,Alberto Francesco Alesina †,73
5,"Joseph E. Stiglitz Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",72
5,"Daron  Acemoglu Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",72
7,"Carmen M. Reinhart Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",67
8,"Robert J. Barro Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",65
9,"Kenneth S Rogoff Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",63
9,"Asli  Demirguc-Kunt World Bank Group, Washington, District of Columbia (USA)",63
11,"Ross  Levine National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",62
12,"John Y. Campbell Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",60
12,"Olivier J Blanchard Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",60
14,"Philippe  Aghion Centre for Economic Performance (CEP), London School of Economics (LSE), London, United KingdomParis School of Economics, Paris, France",59
14,"Rene M. Stulz Department of Finance, Fisher College of Business, Ohio State University, Columbus, Ohio (USA)",59
16,"Robert F. Engle IIIFinance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)Volatility Institute, Stern School of Business, New York University (NYU), New York City, New York (USA)",58
17,"M Hashem Pesaran Department of Economics, University of Southern California, Los Angeles, California (USA)",57
17,"David E. Card Department of Economics, University of California-Berkeley, Berkeley, California (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",57
19,"Mark W. Watson Department of Economics, Princeton University, Princeton, New Jersey (USA)",56
19,"Lawrence H. Summers Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",56
19,"John  List Department of Economics, University of Chicago, Chicago, Illinois (USA)",56
19,"Michael  Woodford Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",56
23,"N. Gregory  Mankiw Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",55
23,"Richard  Blundell Department of Economics, University College London (UCL), London, United Kingdom",55
25,"Jeffrey Alexander Frankel Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",54
25,"Edward Ludwig Glaeser Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",54
25,"Francis X. Diebold Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",54
28,"Tim  Bollerslev Department of Economics, Duke University, Durham, North Carolina (USA)",53
28,"Angus S. Deaton Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",53
28,"Andrew Kenan Rose Economic Analysis & Policy Group (EAP), Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",53
28,"Timothy J. Besley Economics Department, London School of Economics (LSE), London, United Kingdom",53
28,"Allen N. Berger Financial Institutions Center, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",53
33,"Martin  Ravallion Economics Department, Georgetown University, Washington, District of Columbia (USA)",52
33,"Lawrence F. Katz Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",52
33,Alan B. Krueger †,52
36,"Barry Julian Eichengreen Department of Economics, University of California-Berkeley, Berkeley, California (USA)",51
36,"Frederic  Mishkin Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",51
38,"Elhanan  Helpman Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",50
