Rank,Author,Score,Author_clean
1,"Andrei Shleifer Department of Economics, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",48826,Andrei Shleifer
2,"James J. Heckman Department of Economics, University of Chicago, Chicago, Illinois (USA)",34146,James J. Heckman
3,"Robert J. Barro Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",31421,Robert J. Barro
4,"Robert F. Engle IIIFinance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)Volatility Institute, Stern School of Business, New York University (NYU), New York City, New York (USA)",28370,Robert F. Engle
5,"Eugene F. Fama Sr.Booth School of Business, University of Chicago, Chicago, Illinois (USA)",27760,Eugene F. Fama
6,"Kenneth S Rogoff Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",27020,Kenneth S
7,"Joseph E. Stiglitz Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",25947,Joseph E. Stiglitz
8,"Robert W. Vishny Booth School of Business, University of Chicago, Chicago, Illinois (USA)",24744,Robert W. Vishny
9,"Daron Acemoglu Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",24703,Daron Acemoglu
10,"Jean Tirole Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",24483,Jean Tirole
11,"Ross Levine National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",23956,Ross Levine
12,"M Hashem Pesaran Department of Economics, University of Southern California, Los Angeles, California (USA)",23850,M Hashem
13,"Carmen M. Reinhart Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",23472,Carmen M. Reinhart
14,"Mark L. Gertler Department of Economics, New York University (NYU), New York City, New York (USA)",22722,Mark L. Gertler
15,Clive W. J. Granger †,22644,Clive W. J.
16,"James H. Stock Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",21281,James H. Stock
17,Gary S. Becker †,20728,Gary S. Becker
18,Alberto Francesco Alesina †,20651,Alberto Francesco
19,"Michael C. Jensen Negotiations, Organizations and Markets Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",20219,Michael C. Jensen
20,"Olivier J Blanchard Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",20168,Olivier J Blanchard
21,"Tim Bollerslev Department of Economics, Duke University, Durham, North Carolina (USA)",19925,Tim Bollerslev
22,"Richard Blundell Department of Economics, University College London (UCL), London, United Kingdom",19722,Richard Blundell
23,"Kenneth R. French Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",19330,Kenneth R. French
24,"Robert E. Lucas Jr.Department of Economics, University of Chicago, Chicago, Illinois (USA)",18980,Robert E. Lucas
25,"John Y. Campbell Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",18709,John Y. Campbell
26,"Rafael La Porta National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",18034,Rafael La
27,"Florencio Lopez-de-Silanes SKEMA Business School, Lille, France",18004,Florencio Lopez-de-Silanes
28,"Soren Johansen Økonomisk Institut, Københavns Universitet, København, Denmark",17598,Soren Johansen
29,"Philippe Aghion Centre for Economic Performance (CEP), London School of Economics (LSE), London, United KingdomParis School of Economics, Paris, France",17168,Philippe Aghion
30,"Ben S. Bernanke Economic Studies, Brookings Institution, Washington, District of Columbia (USA)",16982,Ben S. Bernanke
31,"Mark W. Watson Department of Economics, Princeton University, Princeton, New Jersey (USA)",16291,Mark W. Watson
32,"Paul R. Krugman Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",16124,Paul R. Krugman
33,"Raghuram G. Rajan George J. Stigler Center for the Study of the Economy and the State, Booth School of Business, University of Chicago, Chicago, Illinois (USA)Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",15959,Raghuram G. Rajan
34,"Peter C. B. Phillips Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)School of Economics, Singapore Management University, Singapore, Singapore",15820,Peter C. B.
35,"Manuel Arellano Centro de Estudios Monetarios y Financieros (CEMFI), Madrid, Spain",15779,Manuel Arellano
36,"Francis X. Diebold Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",15736,Francis X. Diebold
37,"Jordi Gali Centre de Recerca en Economia Internacional (CREI), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",15560,Jordi Gali
38,"Elhanan Helpman Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",15065,Elhanan Helpman
39,"Edward C. Prescott Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",15057,Edward C. Prescott
40,"N. Gregory Mankiw Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",14943,N. Gregory Mankiw
41,"Daniel Kahneman Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",14912,Daniel Kahneman
42,"Pierre Perron Department of Economics, Boston University, Boston, Massachusetts (USA)",14578,Pierre Perron
43,Alan B. Krueger †,14406,Alan B. Krueger
44,"Lawrence H. Summers Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",14296,Lawrence H. Summers
45,"Edward Ludwig Glaeser Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",14020,Edward Ludwig
46,"Rene M. Stulz Department of Finance, Fisher College of Business, Ohio State University, Columbus, Ohio (USA)",14008,Rene M. Stulz
47,"David E. Card Department of Economics, University of California-Berkeley, Berkeley, California (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",13884,David E. Card
48,"Dani Rodrik Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",13763,Dani Rodrik
49,"Yongcheol Shin Department of Economics and Related Studies, University of York, York, United Kingdom",13757,Yongcheol Shin
50,"Richard H. Thaler Booth School of Business, University of Chicago, Chicago, Illinois (USA)",13527,Richard H. Thaler
51,"Asli Demirguc-Kunt World Bank Group, Washington, District of Columbia (USA)",13394,Asli Demirguc-Kunt
52,"Paul Milgrom Department of Economics, Stanford University, Stanford, California (USA)",13324,Paul Milgrom
53,"Robert C. Merton Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",13307,Robert C. Merton
54,"Jeffrey Alexander Frankel Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",13291,Jeffrey Alexander
55,"Luigi Zingales Booth School of Business, University of Chicago, Chicago, Illinois (USA)",13203,Luigi Zingales
56,"Allen N. Berger Financial Institutions Center, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",13065,Allen N. Berger
57,"Maurice Obstfeld Department of Economics, University of California-Berkeley, Berkeley, California (USA)",12780,Maurice Obstfeld
58,"Jerry A. Hausman Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",12578,Jerry A. Hausman
59,"Campbell R. Harvey Finance Area, Fuqua School of Business, Duke University, Durham, North Carolina (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",12534,Campbell R. Harvey
60,"Angus S. Deaton Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",12367,Angus S. Deaton
61,"Martin Eichenbaum Department of Economics, Northwestern University, Evanston, Illinois (USA)",12357,Martin Eichenbaum
62,"Ernst Fehr Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutät, Universität Zürich, Zürich, Switzerland",12213,Ernst Fehr
63,"Lawrence F. Katz Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",12052,Lawrence F. Katz
64,"James Hamilton Department of Economics, University of California-San Diego (UCSD), La Jolla, California (USA)",12032,James Hamilton
65,"Guillermo A. Calvo School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",11947,Guillermo A. Calvo
66,"Joshua D Angrist Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",11863,Joshua D
67,"Whitney Newey Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",11812,Whitney Newey
68,"Robert G. King Department of Economics, Boston University, Boston, Massachusetts (USA)",11781,Robert G. King
69,"Christopher Sims Department of Economics, Princeton University, Princeton, New Jersey (USA)",11682,Christopher Sims
70,"Michael Woodford Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",11558,Michael Woodford
71,"Jeremy C. Stein Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",11395,Jeremy C. Stein
72,Zvi Griliches †,11299,Zvi Griliches
73,"Andrew Kenan Rose Economic Analysis & Policy Group (EAP), Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",11184,Andrew Kenan Rose
74,"John List Department of Economics, University of Chicago, Chicago, Illinois (USA)",11165,John List
75,"Robert Ernest Hall Department of Economics, Stanford University, Stanford, California (USA)",11073,Robert Ernest
76,"Oliver D. Hart Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",11040,Oliver D. Hart
77,Halbert White †,10924,Halbert White
78,"George A. Akerlof Department of Economics, University of California-Berkeley, Berkeley, California (USA)",10915,George A. Akerlof
79,"James Alan Robinson Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",10855,James Alan
80,"Guido Imbens Graduate School of Business, Stanford University, Stanford, California (USA)",10710,Guido Imbens
81,"Avinash Kamalakar Dixit Department of Economics, Princeton University, Princeton, New Jersey (USA)",10676,Avinash Kamalakar
82,"Peter Schmidt Economics Department, Michigan State University, East Lansing, Michigan (USA)",10642,Peter Schmidt
83,"Jeffrey Marc Wooldridge Economics Department, Michigan State University, East Lansing, Michigan (USA)",10615,Jeffrey Marc
84,"Lars Peter Hansen Department of Economics, University of Chicago, Chicago, Illinois (USA)",10612,Lars Peter
85,"Andrew J. Oswald Department of Economics, University of Warwick, Coventry, United KingdomInstitute of Labor Economics (IZA), Bonn, Germany",10602,Andrew J. Oswald
86,"Thorsten Beck Cass Business School, City University, London, United Kingdom",10548,Thorsten Beck
87,"Gene Grossman International Economics Section, Department of Economics, Princeton University, Princeton, New Jersey (USA)",10542,Gene Grossman
87,"Simon Johnson National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",10542,Simon Johnson
89,"Adam Jaffe Motu: Economic & Public Policy Research, Wellington, New Zealand",10480,Adam Jaffe
90,"John Haltiwanger Department of Economics, University of Maryland, College Park, Maryland (USA)",10391,John Haltiwanger
91,"David Romer Department of Economics, University of California-Berkeley, Berkeley, California (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",10379,David Romer
92,"Timothy J. Besley Economics Department, London School of Economics (LSE), London, United Kingdom",10319,Timothy J. Besley
93,"David B. Audretsch School of Public and Environmental Affairs, Indiana University, Bloomington, Indiana (USA)",10212,David B. Audretsch
94,"Xavier Sala-i-Martin Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",10134,Xavier Sala-i-Martin
95,"Geert Bekaert Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",10102,Geert Bekaert
96,"Robert J. Shiller Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)",10032,Robert J. Shiller
97,"Donald W. K. Andrews Economics Department, Yale University, New Haven, Connecticut (USA)Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)",10015,Donald W. K.
98,"Esther Duflo Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",10006,Esther Duflo
99,"Martin Ravallion Economics Department, Georgetown University, Washington, District of Columbia (USA)",9796,Martin Ravallion
100,"Kenneth D. West Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",9709,Kenneth D. West
101,"Marc J. Melitz Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",9702,Marc J. Melitz
102,"Bruce E. Hansen Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",9664,Bruce E. Hansen
