Rank,Author,Score
1,"Christopher F Baum Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",7515
2,"Jeffrey Marc Wooldridge Economics Department, Michigan State University, East Lansing, Michigan (USA)",7462
3,Ben  Jann,6565
4,"Daron  Acemoglu Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",6537
5,Nicholas  Cox,6424
6,"Joseph E. Stiglitz Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",6290
7,"John  List Department of Economics, University of Chicago, Chicago, Illinois (USA)",5632
8,"Robert J. Barro Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",5426
9,"Simplice A Asongu African Governance and Development Institute (AGDI), Yaoundé, Cameroun",5230
10,"James J. Heckman Department of Economics, University of Chicago, Chicago, Illinois (USA)",5097
11,"William D. Nordhaus Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)Economics Department, Yale University, New Haven, Connecticut (USA)",4891
12,"Mark E Schaffer Department of Accountancy, Economics and Finance, Heriot-Watt University, Edinburgh, United Kingdom",4560
13,"M Hashem Pesaran Department of Economics, University of Southern California, Los Angeles, California (USA)",4525
14,"Thomas J. Sargent Department of Economics, New York University (NYU), New York City, New York (USA)",3968
15,"Paul R. Krugman Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",3956
16,"Asli  Demirguc-Kunt World Bank Group, Washington, District of Columbia (USA)",3927
17,"Ross  Levine National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",3870
18,Gary S. Becker †,3842
19,"John Michael van Reenen Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",3760
20,"Ben S. Bernanke Economic Studies, Brookings Institution, Washington, District of Columbia (USA)",3718
21,"Barry Julian Eichengreen Department of Economics, University of California-Berkeley, Berkeley, California (USA)",3687
22,"Oded  Galor Economics Department, Brown University, Providence, Rhode Island (USA)",3686
23,"Rafal  Weron Katedra Badań Operacyjnych i Inteligencji Biznesowej, Politechnika Wrocławska, Wrocław, Poland",3622
24,David Malin Roodman,3551
25,"Ilhan  Ozturk İktisadi ve İdari Bilimler Fakültesi, Çağ Üniversitesi, Mersin, Turkey",3498
26,"Dani  Rodrik Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",3475
27,"Richard H. Thaler Booth School of Business, University of Chicago, Chicago, Illinois (USA)",3397
28,"Andrei  Shleifer Department of Economics, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",3381
29,"Stephen P. Jenkins Department of Social Policy, London School of Economics (LSE), London, United Kingdom",3363
30,"Robert E. Lucas Jr.Department of Economics, University of Chicago, Chicago, Illinois (USA)",3356
31,"Abhijit Vinayak Banerjee Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",3347
32,"Eugene F. Fama Sr.Booth School of Business, University of Chicago, Chicago, Illinois (USA)",3331
33,"Glenn Paul Jenkins Ekonomi Bölümü, İşletme ve Ekonomi Fakültesi, Doğu Akdeniz Üniversitesi, Famagusta, Northern Cyprus",3330
34,"Mark L. Gertler Department of Economics, New York University (NYU), New York City, New York (USA)",3291
35,Alan B. Krueger †,3258
36,Kurt  Annen,3223
37,"Giovanni  Dosi Laboratory of Economics and Management (LEM), Scuola Superiore Sant'Anna, Pisa, Italy",3142
38,"Nicholas Mbaya Odhiambo Department of Economics, College of Economic and Management Sciences, University of South Africa (UNISA), Pretoria, South Africa",3137
39,"Domenico  Giannone Centre for Economic Policy Research (CEPR), London, United Kingdom",3102
40,"Olivier J Blanchard Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",3099
41,"Rangan  Gupta Department of Economics, Faculty of Economic and Management Sciences, University of Pretoria, Pretoria, South Africa",3097
42,"Francisco  Venegas-Martinez Escuela Superior de Economía, Instituto Politécnico Nacional, México, Mexico",3049
43,Alberto Francesco Alesina †,3016
44,"Nicholas  Bloom Department of Economics, Stanford University, Stanford, California (USA)",2953
45,"Carmen M. Reinhart Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",2952
46,"Jean  Tirole Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",2924
