Rank,Author,Score
1,"Peter  Nijkamp Afdeling Ruimtelijke Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",6967
2,"Peter C. B. Phillips Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)School of Economics, Singapore Management University, Singapore, Singapore",6617
3,"Hans-Werner  Sinn ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",6365
4,"Rangan  Gupta Department of Economics, Faculty of Economic and Management Sciences, University of Pretoria, Pretoria, South Africa",6337
5,"Mohsen  Bahmani-Oskooee Economics Department, University of Wisconsin, Milwaukee, Wisconsin (USA)",6142
6,"Jan-Egbert  Sturm KOF Swiss Economic Institute, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland",5924
7,"Joseph E. Stiglitz Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",5753
8,"Michael  McAleer Department of Finance, College of Management, Asia University, Wufeng, Taiwan",5562
9,"Stephen J  Turnovsky Department of Economics, University of Washington, Seattle, Washington (USA)",5501
10,"Daron  Acemoglu Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",5349
11,"James J. Heckman Department of Economics, University of Chicago, Chicago, Illinois (USA)",5018
12,"Mike  Wright Business School, University of Nottingham, Nottingham, United Kingdom",4854
13,"Barry Julian Eichengreen Department of Economics, University of California-Berkeley, Berkeley, California (USA)",4603
14,"Xavier  Vives IESE Business School, Universidad de Navarra, Barcelona, Spain",4559
15,"Henri  Sterdyniak Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po, Paris, France",4547
16,"Robert William Faff Business School, University of Queensland, Brisbane, Australia",4514
17,"Gilles  Saint-Paul Paris School of Economics, Paris, France",4500
18,"Jean  Tirole Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",4439
19,"Simplice A Asongu African Governance and Development Institute (AGDI), Yaoundé, Cameroun",4343
20,"Andrei  Shleifer Department of Economics, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",4312
21,"Bruno S. Frey Center for Research in Economics, Management and the Arts (CREMA), Basel/Zürich, Switzerland",4285
22,"David A. Hensher Institute of Transport and Logistics Studies (ITLS), Business School, University of Sydney, Sydney, Australia",4259
23,"Pierre  Pestieau Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",4211
24,"W Kip Viscusi Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",4180
25,"Luis Alberiko Gil-Alana Facultad de Ciencias Económicas y Empresariales, Universidad de Navarra, Pamplona, SpainNavarra Center for International Development, Universidad de Navarra, Pamplona, Spain",4155
26,"Giancarlo  Corsetti Faculty of Economics, University of Cambridge, Cambridge, United Kingdom",4146
27,"Peter H. Egger Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, SwitzerlandKOF Swiss Economic Institute, Department of Management, Technology and Economics (D-MTEC), Eidgenössische Technische Hochschule Zürich (ETHZ), Zürich, Switzerland",3985
28,"Muhammad  Shahbaz Center for Energy and Environmental Policy Research (CEEP), Beijing Institute of Technology, Beijing, China",3891
29,"Alexandra  Bozhechkova Russian Presidential Academy of National Economy and Public Administration (RANEPA), Moscow, RussiaGaidar Institute for Economic Policy, Moscow, Russia",3851
30,"John  Creedy Wellington School of Business and Government, Victoria University of Wellington, Wellington, New Zealand",3786
31,"Ansgar  Belke Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaften, Universität Duisburg-Essen, Essen, Germany",3783
32,"Jere Richard Behrman Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",3703
33,"John  List Department of Economics, University of Chicago, Chicago, Illinois (USA)",3642
34,"M Hashem Pesaran Department of Economics, University of Southern California, Los Angeles, California (USA)",3607
35,"Todd  Sandler Department of Economics, University of Texas-Dallas, Dallas, Texas (USA)",3600
