Rank,Author,Score,Students
1,"Eric S. Maskin Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",4.38,45.5
2,"Olivier J Blanchard Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",5.76,35
3,"Lawrence F. Katz Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",6.42,43
4,Rudiger  Dornbusch †,7.4,15
5,"Robert M. Solow Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",8.61,11
6,"Andrei  Shleifer Department of Economics, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",9.36,37.5
7,"Edward C. Prescott Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",9.93,37.5
8,"Christopher  Sims Department of Economics, Princeton University, Princeton, New Jersey (USA)",12.81,28
9,"Peter C. B. Phillips Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)School of Economics, Singapore Management University, Singapore, Singapore",13.61,32.5
10,"Robert E. Lucas Jr.Department of Economics, University of Chicago, Chicago, Illinois (USA)",16.03,31.5
11,"Thomas J. Sargent Department of Economics, New York University (NYU), New York City, New York (USA)",17.14,19
12,"James J. Heckman Department of Economics, University of Chicago, Chicago, Illinois (USA)",17.46,26
13,Arnold  Zellner †,17.69,16.5
14,James A. Mirrlees †,17.75,19
15,"Peter A. Diamond Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",19.53,7.5
16,"David E. Card Department of Economics, University of California-Berkeley, Berkeley, California (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",19.57,16
17,"James  Poterba Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",19.73,19.5
18,Kenneth J. Arrow †,20.9,18.5
19,Zvi  Griliches †,23.77,5.5
20,"Jose Alexandre Scheinkman Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",24.65,18.5
21,J. Denis Sargan †,28.1,6
22,"Orley  Ashenfelter Department of Economics, Princeton University, Princeton, New Jersey (USA)Institute of Labor Economics (IZA), Bonn, Germany",28.83,6
23,"Jeffrey Alexander Frankel Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",29.7,10.5
24,"Michael  Woodford Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",30.32,14.5
25,"Neil  Wallace Department of Economics, Pennsylvania State University, State College, Pennsylvania (USA)",31.82,25.5
26,Merton H. Miller †,33.15,2.5
27,"Robert Butler Wilson Graduate School of Business, Stanford University, Stanford, California (USA)",33.84,7
28,"Daron  Acemoglu Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",36.1,23
29,"Kevin  Roberts Department of Economics, Oxford University, Oxford, United Kingdom",37.15,3
30,"Timothy J. Kehoe Department of Economics, University of Minnesota, Minneapolis, Minnesota (USA)",38.1,69
31,Sherwin  Rosen †,41.65,6
32,"Lars Peter Hansen Department of Economics, University of Chicago, Chicago, Illinois (USA)",42.02,25.5
33,"Drew  Fudenberg Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",44.41,13.5
34,"Jerry A. Hausman Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",45.17,8
35,"Francis X. Diebold Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",45.32,18
36,"Robert G. King Department of Economics, Boston University, Boston, Massachusetts (USA)",46.69,13.5
37,"John Y. Campbell Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",47.18,13.5
38,Wassily W. Leontief †,48.13,5
39,"Michael  Rothschild Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)Department of Economics, Princeton University, Princeton, New Jersey (USA)",50.43,4.5
40,"Robert A. Mundell Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",50.97,3
41,"Edward Ludwig Glaeser Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",51.16,11
42,"Lawrence H. Summers Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",51.5,4.5
43,"Maurice  Obstfeld Department of Economics, University of California-Berkeley, Berkeley, California (USA)",53.44,16.5
44,Frank H. Hahn †,53.89,3.5
45,"Robert F. Engle IIIFinance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)Volatility Institute, Stern School of Business, New York University (NYU), New York City, New York (USA)",56.36,12.5
46,"Richard  Blundell Department of Economics, University College London (UCL), London, United Kingdom",56.47,25
47,Alan C. Stockman †,57.23,8.5
48,"Roger  Guesnerie Paris School of Economics, Paris, France",58.02,15
49,"Robert J. Shiller Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)",60.89,3.5
50,"Hugo F. Sonnenschein Department of Economics, University of Chicago, Chicago, Illinois (USA)",61.16,9
51,"Oded  Galor Economics Department, Brown University, Providence, Rhode Island (USA)",61.43,31.5
52,"Robert J. Barro Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",62.73,7
53,"Marc  Nerlove Department of Agricultural and Resource Economics, University of Maryland, College Park, Maryland (USA)Institute of Labor Economics (IZA), Bonn, Germany",63.78,4
54,"Abhijit Vinayak Banerjee Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",65.5,7.5
55,"Jeremy  Greenwood Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",68.22,15.5
56,"Ariel  Pakes Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",68.7,14.5
57,"Paul  Milgrom Department of Economics, Stanford University, Stanford, California (USA)",69.14,11
58,Hendrik S. Houthakker †,69.22,2.5
59,"Ricardo J. Caballero Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",74.69,9.5
60,"Arnold C. Harberger Department of Economics, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",74.73,3.5
61,"Karl  Shell Department of Economics, Cornell University, Ithaca, New York (USA)",74.75,18
62,"Duncan K. Foley Department of Economics, New School for Social Research, The New School, New York City, New York (USA)",74.93,5.5
63,"Alan V. Deardorff Economics Department, University of Michigan, Ann Arbor, Michigan (USA)",75.43,15
