Rank,Author,Score
1,"Simplice A Asongu African Governance and Development Institute (AGDI), Yaoundé, Cameroun",1656
2,"Michael  McAleer Department of Finance, College of Management, Asia University, Wufeng, Taiwan",1383
3,"Peter  Nijkamp Afdeling Ruimtelijke Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",1320
4,"Rangan  Gupta Department of Economics, Faculty of Economic and Management Sciences, University of Pretoria, Pretoria, South Africa",1270
5,"Pierre  Pestieau Center for Operations Research and Econometrics (CORE), Louvain Institute of data Analysis and Modelling in Economics and Statistics (LIDAM), Université Catholique de Louvain, Louvain-la-Neuve, Belgium",940
6,"Barry Julian Eichengreen Department of Economics, University of California-Berkeley, Berkeley, California (USA)",836
7,"Marie Claire  Villeval Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne), Université de Lyon, Lyon, France",795
8,"Jacques François Thisse Center for Market Studies and Spatial Economics, Saint Petersburg Branch, National Research University Higher School of Economics, St. Petersburg, Russia",779
9,"Clement Allan Tisdell School of Economics, University of Queensland, Brisbane, Australia",692
10,"Peter C. B. Phillips Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)School of Economics, Singapore Management University, Singapore, Singapore",681
10,"John  List Department of Economics, University of Chicago, Chicago, Illinois (USA)",681
12,"Bruno S. Frey Center for Research in Economics, Management and the Arts (CREMA), Basel/Zürich, Switzerland",667
13,"M Hashem Pesaran Department of Economics, University of Southern California, Los Angeles, California (USA)",649
14,"James J. Heckman Department of Economics, University of Chicago, Chicago, Illinois (USA)",645
14,"Klaus F. Zimmermann United Nations University-Maastricht Economic Research Institute of Innovation and Technology (UNU-MERIT), Maastricht, Netherlands",645
14,"Daron  Acemoglu Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",645
17,"Joseph E. Stiglitz Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",643
18,"Hans-Werner  Sinn ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V., München, Germany",641
19,"Peter  Nunnenkamp Institut für Weltwirtschaft (IfW), Kiel, Germany",630
20,"Eric  van Damme https://www.tilburguniversity.edu/research/economics-and-management/graduate-school, School of Economics and Management, Universiteit van Tilburg, Tilburg, NetherlandsTilburg Law and Economics Center (TILEC), Universiteit van Tilburg, Tilburg, Netherlands",619
21,"Kym  Anderson School of Economics, University of Adelaide, Adelaide, Australia",611
22,"Luis Alberiko Gil-Alana Facultad de Ciencias Económicas y Empresariales, Universidad de Navarra, Pamplona, SpainNavarra Center for International Development, Universidad de Navarra, Pamplona, Spain",603
23,"Richard S.J. Tol Department of Economics, Sussex Business School, University of Sussex, Brighton, United Kingdom",592
23,"Jeffrey Alexander Frankel Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",592
25,"Philip Hans  Franses Econometrisch Instituut, Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",591
26,"Robert Alain Plasman Département d'Économie Appliquée (DULBEA), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",563
27,"Michel  Grabisch Centre de recherche de mathématiques et économie mathématique (CERMSEM), Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris, FranceParis School of Economics, Paris, France",562
28,"John C. Quiggin Risk and Sustainable Management Group (RSMG), School of Economics, University of Queensland, Brisbane, Australia",560
28,"Andrei  Shleifer Department of Economics, Harvard University, Cambridge, Massachusetts (USA)National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",560
30,"John Michael van Reenen Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom",556
31,"Ansgar  Belke Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaften, Universität Duisburg-Essen, Essen, Germany",554
32,"Muhammad  Shahbaz Center for Energy and Environmental Policy Research (CEEP), Beijing Institute of Technology, Beijing, China",552
33,"Joachim  Wagner Institut für Volkswirtschaftslehre, Fakultät Wirtschaftswissenschaften, Leuphana Universität Lüneburg, Lüneburg, Germany",551
34,"Werner  Guth Dipartimento di Economia e Finanza (DEF), Libera Università Internazionale degli Studi Sociali Guido Carli (LUISS), Roma, Italy",548
35,"Guglielmo Maria  Caporale Department of Economics and Finance, Brunel University, Uxbridge, United Kingdom",546
36,Martin S. Feldstein †,543
37,"Jason  Shogren Department of Economics, College of Business, University of Wyoming, Laramie, Wyoming (USA)",542
38,"Johan  Swinnen International Food Policy Research Institute (IFPRI), Washington, District of Columbia (USA)",540
39,"Gilles  Saint-Paul Paris School of Economics, Paris, France",538
40,"Andrew  Clark Paris School of Economics, Paris, France",535
41,"Jan  van Ours Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam, Rotterdam, Netherlands",534
41,"John  Creedy Wellington School of Business and Government, Victoria University of Wellington, Wellington, New Zealand",534
43,"Dermot James Hayes College of Business, Iowa State University, Ames, Iowa (USA)",533
44,"Helmuth  Cremer Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, FranceGroupe de Recherche en Économie Mathématique et Quantitative (GREMAQ), Toulouse School of Economics (TSE), Toulouse, France",531
44,"Joshua  Aizenman Department of Economics, University of Southern California, Los Angeles, California (USA)",531
46,"Wolfgang Karl Hardle Institut für Statistik und Ökonometrie (ISÖ), Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, GermanyCenter for Applied Statistics and Econometrics (CASE), Humboldt-Universität Berlin, Berlin, Germany",528
47,"Lionel  Fontagne Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris, France",521
48,"Philippe  Aghion Centre for Economic Performance (CEP), London School of Economics (LSE), London, United KingdomParis School of Economics, Paris, France",519
49,Nicholas  Cox,515
50,"Victor A. Ginsburgh European Centre for Advanced Research in Economics and Statistics (ECARES), Solvay Brussels School of Economics and Management, Université Libre de Bruxelles, Bruxelles, Belgium",510
50,"Yves  Zenou Department of Economics, Monash Business School, Monash University, Melbourne, Australia",510
52,"Henri  Sterdyniak Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po, Paris, France",507
53,"Assaf  Razin Foerder Institute for Economic Research, Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, IsraelNational Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)",503
