Author
Abhijit Banerjee
Esther Duflo
Michael Kremer
William Nordhaus
Paul Romer
Richard Thaler
Oliver Hart
Bengt Holmström
Angus Deaton
Jean Tirole
Eugene F. Fama
Lars Peter Hansen
Robert J. Shiller
Alvin E. Roth
Lloyd S. Shapley
Thomas J. Sargent
Christopher A. Sims
Peter A. Diamond
Dale T. Mortensen
Christopher A. Pissarides
Elinor Ostrom
Oliver E. Williamson
Paul R. Krugman
Leonid Hurwicz
Eric S. Maskin
Roger B. Myerson
Edmund S. Phelps
Robert J. Aumann
Thomas C. Schelling
Finn E. Kydland
Edward C. Prescott
Robert F. Engle
Clive W. J. Granger
Daniel Kahneman
Vernon L. Smith
George A. Akerlof
A. Michael Spence
Joseph E. Stiglitz
James J. Heckman
Daniel L. Mcfadden
Robert A. Mundell
Amartya Sen
Robert C. Merton
Myron S. Scholes
James A. Mirrlees
William Vickrey
Robert E. Lucas
John C. Harsanyi
John F. Nash
Reinhard Selten
Robert W. Fogel
Douglass C. North
Gary S. Becker
Ronald H. Coase
Harry M. Markowitz
Merton M. Miller
William F. Sharpe
Trygve Haavelmo
Maurice Allais
Robert M. Solow
James M. Buchanan
Franco Modigliani
Richard Stone
Gerard Debreu
George J. Stigler
James Tobin
Lawrence R. Klein
Theodore W. Schultz
Arthur Lewis
Herbert A. Simon
Bertil Ohlin
James E. Meade
Milton Friedman
Leonid Vitaliyevich Kantorovich
Tjalling C. Koopmans
Gunnar Myrdal
Friedrich August Von Hayek
Wassily Leontief
John R. Hicks
Kenneth J. Arrow
Simon Kuznets
Paul A. Samuelson
Ragnar Frisch
Jan Tinbergen
